latitude(deg),longitude(deg),time(ms),elevation(m),velocity(m/s),bearing(deg)
58.982966,23.237709,601000,102.538,10.31200935,265.0501721
58.98296,23.237539,602000,102.911,9.766225572,266.081815
58.982891,23.236988,605000,97.831,10.83309083,256.3409812
58.982822,23.236609,607000,97.052,11.51900414,250.5414039
58.982791,23.236427,608000,96.373,10.98631099,251.7088932
58.982708,23.236082,610000,88.4,10.91119358,244.9733773
58.982663,23.235906,611000,87.942,11.26085,243.6102348
58.982566,23.235342,614000,78.699,11.3594704,251.5433034
58.982487,23.234963,616000,76.005,11.71610387,247.9763869
58.982452,23.234334,619000,72.772,12.08688784,263.8371573
58.982418,23.23377,622000,75.658,10.84870103,263.3276892
58.982419,23.233599,623000,75.834,9.801497672,270.6502731
58.982434,23.233428,624000,75.849,9.941854892,279.6608845
58.982503,23.232456,629000,69.37,11.24724997,277.8441
58.982519,23.232015,631000,66.121,12.66921169,274.0276193
58.982518,23.231383,634000,69.234,12.0743838,269.824339
58.982513,23.231183,635000,68.903,11.4764521,267.2225323
58.98247,23.229927,641000,66.429,12.02436704,266.1994886
58.982494,23.229056,645000,69.48,12.49815023,273.0612232
58.982513,23.228837,646000,68.278,12.7286147,279.5570175
58.982574,23.227975,650000,70.301,12.46726461,277.8198448
58.98258,23.227406,653000,74.22,10.87297256,271.1725524
58.982704,23.226646,657000,71.794,11.42261494,287.5695915
58.982792,23.226257,659000,72.519,12.17461213,293.7022069
58.982861,23.225724,662000,75.358,10.49927427,284.1026087
58.983049,23.224638,668000,74.419,10.94361536,288.5702035
58.98321,23.223772,673000,76.77,10.55307997,289.8393671
58.983379,23.223059,677000,71.823,11.2451339,294.7022016
58.983568,23.222393,681000,76.371,10.89412474,298.8432421
58.983675,23.222115,683000,79.78,9.943588218,306.7581106
58.983893,23.220934,690000,80.63,10.27119383,289.7095874
58.983835,23.22057,692000,83.669,10.91823225,252.8168978
58.983684,23.219806,696000,82.306,11.72437534,249.0152411
58.98293,23.218145,706000,87.862,12.68695664,228.6222337
58.982642,23.217746,709000,90.144,13.11949017,215.5231777
58.982386,23.217313,712000,89.967,12.59040231,221.0749751
58.98188,23.216661,717000,92.544,13.5114576,213.5840537
58.981775,23.216554,718000,93.335,13.19108538,207.7051483
58.981111,23.216419,723000,88.811,14.8516942,185.9811448
58.98043,23.217483,728000,89.776,19.44903074,141.160294
58.98034,23.218522,731000,85.117,20.12975573,99.54117107
58.980385,23.218847,732000,85.625,19.28918006,74.96057427
58.980823,23.219394,736000,82.383,14.48353374,32.76396367
58.981105,23.219071,739000,85.663,12.14067743,329.449094
58.981137,23.218866,740000,85.742,12.27726135,286.8523599
58.981003,23.218096,744000,87.161,11.64574431,251.340306
58.980562,23.217599,748000,85.213,14.18071545,210.1466781
58.979616,23.21713,755000,87.336,15.51426477,194.3320541
58.978781,23.217015,761000,91.18,15.5179269,184.0598803
58.977404,23.216903,771000,95.216,15.32930528,182.4003623
58.976747,23.216752,776000,98.267,14.7173032,186.75535
58.976488,23.216682,778000,99.383,14.54286592,187.929964
58.975697,23.216516,784000,102.074,14.74885094,186.1732656
58.975035,23.216426,789000,104.055,14.76246409,184.0082242
58.974501,23.216355,793000,107.795,14.88353069,183.9203253
58.973987,23.216326,797000,110.172,14.29861589,181.6657218
58.973061,23.216279,804000,113.916,14.71867889,181.4986128
58.972,23.216298,812000,115.679,14.75201052,179.4711398
58.971611,23.216315,815000,118.969,14.42599657,178.7095364
58.971481,23.216324,816000,118.541,14.4686172,177.9562092
58.971082,23.216469,819000,120.142,15.05040467,169.3899505
58.969482,23.217288,831000,121.408,15.33774527,165.2183283
58.969211,23.217441,833000,122.763,15.69646723,163.7729937
58.967805,23.218658,844000,126.123,15.56785032,155.9524582
58.966922,23.219554,851000,127.929,15.83416284,152.3848259
58.96667,23.219775,853000,129.268,15.38029972,155.6714289
